,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,zone,date
0,2307,0,0,0,0,0,0,21090,0,51,0,0,AE,2024-05-18T18:00:00.000Z
1,1712,0,99,10,380,866,5131,6,1,8786,0,0,AR,2024-05-18T18:00:00.000Z
2,0,0,235,0,426,742,3481,11,0,16,1097,0,AT,2024-05-18T18:00:00.000Z
3,0,0,47,15058,5042,0,329,1342,0,1,0,8,AU,2024-05-18T18:00:00.000Z
4,0,0,14,6294,835,0,23,47,0,0,0,8,AU-NSW,2024-05-18T18:00:00.000Z
5,0,0,1,0,0,0,0,135,0,1,0,0,AU-NT,2024-05-18T18:00:00.000Z
6,0,0,23,4611,592,0,75,110,0,0,0,0,AU-QLD,2024-05-18T18:00:00.000Z
7,0,0,0,56,662,0,0,566,0,0,0,0,AU-SA,2024-05-18T18:00:00.000Z
8,0,0,0,247,647,0,240,60,0,0,0,0,AU-TAS,2024-05-18T18:00:00.000Z
9,0,0,0,0,1,0,0,0,0,0,0,0,AU-TAS-FI,2024-05-18T18:00:00.000Z
10,0,0,0,0,1,0,0,0,0,0,0,0,AU-TAS-KI,2024-05-18T18:00:00.000Z
11,0,0,0,3326,1302,0,0,0,0,0,0,0,AU-VIC,2024-05-18T18:00:00.000Z
12,0,0,9,504,1009,0,0,429,0,0,0,0,AU-WA,2024-05-18T18:00:00.000Z
13,0,0,0,0,0,0,0,0,0,0,0,0,AU-WA-RI,2024-05-18T18:00:00.000Z
14,6,0,0,0,12,0,2,0,0,1,0,0,AX,2024-05-18T18:00:00.000Z
15,0,0,0,984,0,0,647,0,0,0,85,0,BA,2024-05-18T18:00:00.000Z
16,0,0,0,3635,2,0,29,7010,1757,0,0,0,BD,2024-05-18T18:00:00.000Z
17,5232,0,179,1,78,374,401,834,6,405,313,0,BE,2024-05-18T18:00:00.000Z
18,1018,0,22,472,29,0,1596,312,0,0,0,0,BG,2024-05-18T18:00:00.000Z
19,0,0,0,0,0,0,0,0,0,2419,0,0,BH,2024-05-18T18:00:00.000Z
20,0,0,50,0,71,147,307,0,0,599,0,0,BO,2024-05-18T17:00:00.000Z
21,1354,0,0,0,5312,15643,47703,0,0,6228,0,0,BR,2024-05-18T18:00:00.000Z
22,1354,0,0,0,388,9284,27578,0,0,4489,0,0,BR-CS,2024-05-18T18:00:00.000Z
23,0,0,0,0,370,787,7374,0,0,688,0,0,BR-N,2024-05-18T18:00:00.000Z
24,0,0,0,0,4117,4986,2583,0,0,280,0,0,BR-NE,2024-05-18T18:00:00.000Z
25,0,0,0,0,437,587,10168,0,0,772,0,0,BR-S,2024-05-18T18:00:00.000Z
26,1,0,233,116,2367,1150,244,4787,0,536,0,0,CA-AB,2024-05-18T18:00:00.000Z
27,156,0,0,0,348,12,1185,2,0,8929,0,0,CA-BC,2024-05-18T18:00:00.000Z
28,0,0,19,0,22,0,460,0,0,749,0,0,CA-NB,2024-05-18T18:00:00.000Z
29,8045,0,0,0,454,272,4576,2752,0,0,0,0,CA-ON,2024-05-18T18:00:00.000Z
30,0,0,2,0,3,0,52,0,0,84,0,0,CA-PE,2024-05-18T18:00:00.000Z
31,0,0,626,0,705,9,14965,0,0,0,0,0,CA-QC,2024-05-18T18:00:00.000Z
32,0,0,0,980,150,9,253,1153,0,40,0,0,CA-SK,2024-05-18T18:00:00.000Z
33,0,0,0,0,0,0,45,0,0,0,0,0,CA-YT,2024-05-18T18:00:00.000Z
34,987,0,1311,0,0,968,4590,0,0,1046,1900,0,CH,2024-05-18T18:00:00.000Z
35,0,38,0,0,650,4774,2053,0,0,3193,0,0,CL-SEN,2024-05-18T18:00:00.000Z
36,0,0,77,634,11,100,6905,880,213,0,0,0,CO,2024-05-18T18:00:00.000Z
37,0,197,3,0,97,7,987,0,396,0,0,0,CR,2024-05-18T18:00:00.000Z
38,0,0,10,0,14,0,0,0,520,0,0,0,CY,2024-05-18T18:00:00.000Z
39,3017,0,232,1690,43,465,137,73,0,0,154,0,CZ,2024-05-18T18:00:00.000Z
40,383,22,5496,6549,7754,2357,4053,4116,402,226,1008,0,DE,2024-05-18T18:00:00.000Z
41,0,0,186,64,635,558,654,161,11,1,0,0,DK,2024-05-18T18:00:00.000Z
42,0,0,1,0,17,12,0,0,0,0,0,0,DK-BHM,2024-05-18T18:00:00.000Z
43,0,0,163,35,273,465,654,143,5,1,0,0,DK-DK1,2024-05-18T18:00:00.000Z
44,0,0,22,29,345,81,0,18,6,0,0,0,DK-DK2,2024-05-18T18:00:00.000Z
45,0,0,30,918,55,597,106,783,79,0,0,0,DO,2024-05-18T18:00:00.000Z
46,0,0,56,169,0,103,1,52,0,1,0,0,EE,2024-05-18T18:00:00.000Z
47,3928,0,566,278,3304,8779,3175,2969,51,67,0,0,ES,2024-05-18T18:00:00.000Z
48,0,0,0,0,0,0,0,0,23,0,0,0,ES-CE,2024-05-18T18:00:00.000Z
